window_name,window_min_time_min,window_max_time_min,metric_name,metric_label,condition_name,condition_label,n_samples,mean_of_sample_means,std_of_sample_means,sem_of_sample_means,median_of_sample_means,iqr_of_sample_means,min_of_sample_means,max_of_sample_means
0_to_5min,0.0,5.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.12424831693650373,0.016891671508345474,0.009752411092405992,0.12500963986840738,0.016878799035798392,0.10698885643475352,0.1407464545063503
0_to_5min,0.0,5.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.13125099753393596,0.04070193683863401,0.023499274190324493,0.1089613663363679,0.035833321339550056,0.10656249179316996,0.17822913447227004
0_to_5min,0.0,5.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.006268482260451643,0.009992744564882909,0.005769313764478317,0.0009645454910538886,0.008874465335932627,4.598530921789233e-05,0.017794915981083147
0_to_5min,0.0,5.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.016207448364900238,0.021198760843324838,0.012239110279380093,0.00822403958758805,0.020039619495220796,0.00015953325833553778,0.04023877224877713
0_to_5min,0.0,5.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,3,0.3004268655103474,0.01960638369685264,0.011319750905212962,0.3053979575295833,0.019127897552277562,0.27881342194845193,0.31706921705300706
0_to_5min,0.0,5.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,3,0.29605014318906364,0.04996712517022664,0.028848533167662078,0.2799481277354514,0.04798184470740807,0.2561193062084617,0.3520829956232778
10_to_20min,10.0,20.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.17764506412709472,0.015981697333076063,0.00922703725735859,0.1824663820007972,0.015426626984424957,0.1598077782058185,0.19066103217466843
10_to_20min,10.0,20.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.1736961415991314,0.028205757416338784,0.01628460163702048,0.1619090233391987,0.02629377557092402,0.15329592515817375,0.2058834763000218
10_to_20min,10.0,20.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.013440215845595073,0.014721954467200225,0.008499724374635463,0.009736611479647378,0.0143683133790893,0.0009237046494796223,0.02966033140765822
10_to_20min,10.0,20.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.017025037014756845,0.019880662639383203,0.01147810592651603,0.009450156050992508,0.01876716895990356,0.0020453085367354525,0.03957964645654257
10_to_20min,10.0,20.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,3,0.4562255723059743,0.021365868815778056,0.012335590112259692,0.45452261306532665,0.021314907872696964,0.43576214405360125,0.47839195979899507
10_to_20min,10.0,20.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,3,0.4335287548855388,0.05249809009641682,0.030309786449107482,0.4392797319932997,0.05226130653266342,0.3783919597989949,0.4829145728643217
20_to_25min,20.0,25.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.20476871941711913,0.016186684055662415,0.00934538639682412,0.21101347897165448,0.015256505966221912,0.18638983367362955,0.21690284560607342
20_to_25min,20.0,25.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.196820107060988,0.025031862451977267,0.014452152524966762,0.1882758468509492,0.023913194075908584,0.1771790430900988,0.225005431241916
20_to_25min,20.0,25.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.02412778430658027,0.01942844679661667,0.011217018987962958,0.023663420916397213,0.019424284283091564,0.004935681718580231,0.043784250284763356
20_to_25min,20.0,25.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.023299672860813855,0.021511226556925923,0.012419512443240209,0.014233474193249244,0.020027129082162087,0.007805643112434074,0.047859901276758245
20_to_25min,20.0,25.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,3,0.5291457286432161,0.022424926138146384,0.01294703714241629,0.5242881072026799,0.022026800670016833,0.5095477386934673,0.5536013400335009
20_to_25min,20.0,25.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,3,0.5018983807928532,0.054205745782995265,0.03129570191943674,0.5105527638190954,0.0536850921273031,0.443886097152429,0.5512562814070353
5_to_10min,5.0,10.0,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.1471534691055498,0.015568876731980773,0.008988695172189202,0.1510125784104943,0.015205932369472791,0.13001798208360477,0.16042984682255035
5_to_10min,5.0,10.0,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.14697241260701546,0.03208330339818898,0.018523303853436843,0.13130999089146622,0.029074985235481438,0.12572863822930863,0.1838786087002715
5_to_10min,5.0,10.0,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.0070284950318031695,0.010156898828488522,0.005864088272759643,0.002359101167420111,0.009317197245770743,4.599471822395543e-05,0.01868038920976544
5_to_10min,5.0,10.0,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.012949206435808583,0.016749707541981795,0.009670448158210694,0.006647720751010379,0.015835755787619813,0.0002641934905878752,0.0319357050658275
5_to_10min,5.0,10.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,3,0.37286432160804023,0.02080089096247603,0.01200939999656959,0.3753768844221106,0.020686767169179165,0.35092127303182585,0.39229480737018424
5_to_10min,5.0,10.0,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,3,0.3571747627024009,0.04955416361220454,0.028610109700973052,0.3544388609715244,0.04949748743718585,0.3090452261306532,0.408040201005025
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_off,Pump off,3,0.1768030791942146,0.01591394328868535,0.009187919441590926,0.1817397053459358,0.015328923076136175,0.15900584304221782,0.18966368919449017
post_5min,5.0,,center_of_mass_depth,Center-of-Mass Depth,pump_on,Pump on,3,0.17279620071656657,0.0283488282235275,0.016367203606064064,0.1608509711052032,0.026393932613309523,0.15237488290893875,0.20516274813555782
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_off,Pump off,3,0.014509177757393396,0.0146238029492203,0.008443056569308384,0.011373936260778018,0.014369527071760226,0.0017072714339408576,0.03044632557746131
post_5min,5.0,,deep_tail_fraction,Deep-Tail Fraction,pump_on,Pump on,3,0.017574738331534032,0.019502625157926036,0.011259845884832965,0.00994537676156116,0.018349305697397254,0.0030401134191232137,0.03973872481391772
post_5min,5.0,,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_off,Pump off,3,0.45361529871580125,0.021372146629633524,0.012339214609779069,0.452177554438861,0.0213358458961474,0.43299832495812396,0.47567001675041876
post_5min,5.0,,penetration_depth_10pct_peak,Penetration Depth at 10% Peak,pump_on,Pump on,3,0.43153266331658297,0.052063093169148235,0.030058640856052303,0.43588777219430486,0.05192629815745392,0.377428810720268,0.4812814070351758
